scenario,theta_degrees,delta_g,detector_amplitude,delta_detector,rate_ratio
"detector 6%, propagation 1.5%",43.0,0.01500,0.06000,0.01814,0.88401
"detector 6%, propagation 1.5%",44.0,0.01500,0.06000,0.01657,0.88950
"detector 6%, propagation 1.5%",45.0,0.01500,0.06000,0.01500,0.89500
"detector 6%, propagation 1.5%",46.0,0.01500,0.06000,0.01343,0.90050
"detector 6%, propagation 1.5%",47.0,0.01500,0.06000,0.01186,0.90599
"detector 6%, propagation 1.5%",48.0,0.01500,0.06000,0.01030,0.91146
"detector 6%, propagation 1.5%",49.0,0.01500,0.06000,0.00874,0.91692
"detector 6%, propagation 1.5%",50.0,0.01500,0.06000,0.00719,0.92235
"detector 6%, propagation 1.5%",51.0,0.01500,0.06000,0.00564,0.92775
"detector 6%, propagation 1.5%",52.0,0.01500,0.06000,0.00411,0.93310
"detector 6%, propagation 1.5%",53.0,0.01500,0.06000,0.00260,0.93841
"detector 6%, propagation 1.5%",54.0,0.01500,0.06000,0.00109,0.94367
"detector 6%, propagation 1.5%",55.0,0.01500,0.06000,-0.00039,0.94887
"detector 6%, propagation 1.5%",56.0,0.01500,0.06000,-0.00186,0.95400
"detector 6%, propagation 1.5%",57.0,0.01500,0.06000,-0.00330,0.95906
"detector 6%, propagation 1.5%",58.0,0.01500,0.06000,-0.00473,0.96404
"detector 6%, propagation 1.5%",59.0,0.01500,0.06000,-0.00613,0.96894
"detector 6%, propagation 1.5%",60.0,0.01500,0.06000,-0.00750,0.97375
"detector 6%, propagation 1.5%",61.0,0.01500,0.06000,-0.00885,0.97846
"detector 6%, propagation 1.5%",62.0,0.01500,0.06000,-0.01016,0.98307
"detector 6%, propagation 1.5%",63.0,0.01500,0.06000,-0.01145,0.98758
"detector 6%, propagation 1.5%",64.0,0.01500,0.06000,-0.01270,0.99197
"detector 6%, propagation 1.5%",65.0,0.01500,0.06000,-0.01393,0.99624
"detector 6%, propagation 1.5%",66.0,0.01500,0.06000,-0.01511,1.00039
"detector 6%, propagation 1.5%",67.0,0.01500,0.06000,-0.01626,1.00441
"detector 6%, propagation 1.5%",68.0,0.01500,0.06000,-0.01737,1.00830
"detector 6%, propagation 1.5%",69.0,0.01500,0.06000,-0.01844,1.01205
"detector 6%, propagation 1.5%",70.0,0.01500,0.06000,-0.01947,1.01565
"detector 6%, propagation 1.5%",71.0,0.01500,0.06000,-0.02046,1.01911
"detector 6%, propagation 1.5%",72.0,0.01500,0.06000,-0.02141,1.02242
"detector 6%, propagation 1.5%",73.0,0.01500,0.06000,-0.02231,1.02557
"detector 6%, propagation 1.5%",74.0,0.01500,0.06000,-0.02316,1.02857
"detector 6%, propagation 1.5%",75.0,0.01500,0.06000,-0.02397,1.03140
"detector 6%, propagation 1.5%",76.0,0.01500,0.06000,-0.02473,1.03406
"detector 6%, propagation 1.5%",77.0,0.01500,0.06000,-0.02545,1.03656
"detector 6%, propagation 1.5%",78.0,0.01500,0.06000,-0.02611,1.03888
"detector 6%, propagation 1.5%",79.0,0.01500,0.06000,-0.02672,1.04103
"detector 6%, propagation 1.5%",80.0,0.01500,0.06000,-0.02729,1.04300
"detector 6%, propagation 1.5%",81.0,0.01500,0.06000,-0.02780,1.04479
"detector 6%, propagation 1.5%",82.0,0.01500,0.06000,-0.02826,1.04640
"detector 6%, propagation 1.5%",83.0,0.01500,0.06000,-0.02866,1.04782
"detector 6%, propagation 1.5%",84.0,0.01500,0.06000,-0.02902,1.04906
"detector 6%, propagation 1.5%",85.0,0.01500,0.06000,-0.02932,1.05011
"detector 6%, propagation 1.5%",86.0,0.01500,0.06000,-0.02956,1.05097
"detector 6%, propagation 1.5%",87.0,0.01500,0.06000,-0.02975,1.05164
"detector 6%, propagation 1.5%",88.0,0.01500,0.06000,-0.02989,1.05212
"detector 6%, propagation 1.5%",89.0,0.01500,0.06000,-0.02997,1.05240
"detector 6%, propagation 1.5%",90.0,0.01500,0.06000,-0.03000,1.05250
"detector 6%, propagation 1.5%",91.0,0.01500,0.06000,-0.02997,1.05240
"detector 6%, propagation 1.5%",92.0,0.01500,0.06000,-0.02989,1.05212
"detector 6%, propagation 1.5%",93.0,0.01500,0.06000,-0.02975,1.05164
"detector 6%, propagation 1.5%",94.0,0.01500,0.06000,-0.02956,1.05097
"detector 6%, propagation 1.5%",95.0,0.01500,0.06000,-0.02932,1.05011
"detector 6%, propagation 1.5%",96.0,0.01500,0.06000,-0.02902,1.04906
"detector 6%, propagation 1.5%",97.0,0.01500,0.06000,-0.02866,1.04782
"detector 6%, propagation 1.5%",98.0,0.01500,0.06000,-0.02826,1.04640
"detector 6%, propagation 1.5%",99.0,0.01500,0.06000,-0.02780,1.04479
"detector 6%, propagation 1.5%",100.0,0.01500,0.06000,-0.02729,1.04300
"detector 6%, propagation 1.5%",101.0,0.01500,0.06000,-0.02672,1.04103
"detector 6%, propagation 1.5%",102.0,0.01500,0.06000,-0.02611,1.03888
"detector 6%, propagation 1.5%",103.0,0.01500,0.06000,-0.02545,1.03656
"detector 6%, propagation 1.5%",104.0,0.01500,0.06000,-0.02473,1.03406
"detector 6%, propagation 1.5%",105.0,0.01500,0.06000,-0.02397,1.03140
"detector 6%, propagation 1.5%",106.0,0.01500,0.06000,-0.02316,1.02857
"detector 6%, propagation 1.5%",107.0,0.01500,0.06000,-0.02231,1.02557
"detector 6%, propagation 1.5%",108.0,0.01500,0.06000,-0.02141,1.02242
"detector 6%, propagation 1.5%",109.0,0.01500,0.06000,-0.02046,1.01911
"detector 6%, propagation 1.5%",110.0,0.01500,0.06000,-0.01947,1.01565
"detector 6%, propagation 1.5%",111.0,0.01500,0.06000,-0.01844,1.01205
"detector 6%, propagation 1.5%",112.0,0.01500,0.06000,-0.01737,1.00830
"detector 6%, propagation 1.5%",113.0,0.01500,0.06000,-0.01626,1.00441
"detector 6%, propagation 1.5%",114.0,0.01500,0.06000,-0.01511,1.00039
"detector 6%, propagation 1.5%",115.0,0.01500,0.06000,-0.01393,0.99624
"detector 6%, propagation 1.5%",116.0,0.01500,0.06000,-0.01270,0.99197
"detector 6%, propagation 1.5%",117.0,0.01500,0.06000,-0.01145,0.98758
"detector 6%, propagation 1.5%",118.0,0.01500,0.06000,-0.01016,0.98307
"detector 6%, propagation 1.5%",119.0,0.01500,0.06000,-0.00885,0.97846
"detector 6%, propagation 1.5%",120.0,0.01500,0.06000,-0.00750,0.97375
"detector 6%, propagation 1.5%",121.0,0.01500,0.06000,-0.00613,0.96894
"detector 6%, propagation 1.5%",122.0,0.01500,0.06000,-0.00473,0.96404
"detector 6%, propagation 1.5%",123.0,0.01500,0.06000,-0.00330,0.95906
"detector 6%, propagation 1.5%",124.0,0.01500,0.06000,-0.00186,0.95400
"detector 6%, propagation 1.5%",125.0,0.01500,0.06000,-0.00039,0.94887
"detector 6%, propagation 1.5%",126.0,0.01500,0.06000,0.00109,0.94367
"detector 6%, propagation 1.5%",127.0,0.01500,0.06000,0.00260,0.93841
"detector 6%, propagation 1.5%",128.0,0.01500,0.06000,0.00411,0.93310
"detector 6%, propagation 1.5%",129.0,0.01500,0.06000,0.00564,0.92775
"detector 6%, propagation 1.5%",130.0,0.01500,0.06000,0.00719,0.92235
"detector 6%, propagation 1.5%",131.0,0.01500,0.06000,0.00874,0.91692
"detector 6%, propagation 1.5%",132.0,0.01500,0.06000,0.01030,0.91146
"detector 6%, propagation 1.5%",133.0,0.01500,0.06000,0.01186,0.90599
"detector 6%, propagation 1.5%",134.0,0.01500,0.06000,0.01343,0.90050
"detector 6%, propagation 1.5%",135.0,0.01500,0.06000,0.01500,0.89500
"detector 6%, propagation 1.5%",136.0,0.01500,0.06000,0.01657,0.88950
"detector 6%, propagation 1.5%",137.0,0.01500,0.06000,0.01814,0.88401
"detector 6%, propagation 1.5%",138.0,0.01500,0.06000,0.01970,0.87854
"detector 6%, propagation 1.5%",139.0,0.01500,0.06000,0.02126,0.87308
"detector 6%, propagation 1.5%",140.0,0.01500,0.06000,0.02281,0.86765
"detector 6%, propagation 1.5%",141.0,0.01500,0.06000,0.02436,0.86225
"detector 6%, propagation 1.5%",142.0,0.01500,0.06000,0.02589,0.85690
"detector 6%, propagation 1.5%",143.0,0.01500,0.06000,0.02740,0.85159
"detector 6%, propagation 1.5%",144.0,0.01500,0.06000,0.02891,0.84633
"detector 6%, propagation 1.5%",145.0,0.01500,0.06000,0.03039,0.84113
"detector 6%, propagation 1.5%",146.0,0.01500,0.06000,0.03186,0.83600
"detector 6%, propagation 1.5%",147.0,0.01500,0.06000,0.03330,0.83094
"detector 6%, propagation 1.5%",148.0,0.01500,0.06000,0.03473,0.82596
"detector 6%, propagation 1.5%",149.0,0.01500,0.06000,0.03613,0.82106
"detector 6%, propagation 1.5%",150.0,0.01500,0.06000,0.03750,0.81625
"detector 6%, propagation 1.5%",151.0,0.01500,0.06000,0.03885,0.81154
"detector 6%, propagation 1.5%",152.0,0.01500,0.06000,0.04016,0.80693
"detector 6%, propagation 1.5%",153.0,0.01500,0.06000,0.04145,0.80242
"detector 6%, propagation 1.5%",154.0,0.01500,0.06000,0.04270,0.79803
"detector 6%, propagation 1.5%",155.0,0.01500,0.06000,0.04393,0.79376
"detector 6%, propagation 1.5%",156.0,0.01500,0.06000,0.04511,0.78961
"detector 6%, propagation 1.5%",157.0,0.01500,0.06000,0.04626,0.78559
"detector 6%, propagation 1.5%",158.0,0.01500,0.06000,0.04737,0.78170
"detector 6%, propagation 1.5%",159.0,0.01500,0.06000,0.04844,0.77795
"detector 6%, propagation 1.5%",160.0,0.01500,0.06000,0.04947,0.77435
"detector 6%, propagation 1.5%",161.0,0.01500,0.06000,0.05046,0.77089
"detector 6%, propagation 1.5%",162.0,0.01500,0.06000,0.05141,0.76758
"detector 6%, propagation 1.5%",163.0,0.01500,0.06000,0.05231,0.76443
"detector 6%, propagation 1.5%",164.0,0.01500,0.06000,0.05316,0.76143
"detector 6%, propagation 1.5%",165.0,0.01500,0.06000,0.05397,0.75860
"detector 6%, propagation 1.5%",166.0,0.01500,0.06000,0.05473,0.75594
"detector 6%, propagation 1.5%",167.0,0.01500,0.06000,0.05545,0.75344
"detector 6%, propagation 1.5%",168.0,0.01500,0.06000,0.05611,0.75112
"detector 6%, propagation 1.5%",169.0,0.01500,0.06000,0.05672,0.74897
"detector 6%, propagation 1.5%",170.0,0.01500,0.06000,0.05729,0.74700
"detector 6%, propagation 1.5%",171.0,0.01500,0.06000,0.05780,0.74521
"detector 6%, propagation 1.5%",172.0,0.01500,0.06000,0.05826,0.74360
"detector 6%, propagation 1.5%",173.0,0.01500,0.06000,0.05866,0.74218
"detector 6%, propagation 1.5%",174.0,0.01500,0.06000,0.05902,0.74094
"detector 6%, propagation 1.5%",175.0,0.01500,0.06000,0.05932,0.73989
"detector 6%, propagation 1.5%",176.0,0.01500,0.06000,0.05956,0.73903
"detector 6%, propagation 1.5%",177.0,0.01500,0.06000,0.05975,0.73836
"detector 6%, propagation 1.5%",178.0,0.01500,0.06000,0.05989,0.73788
"detector 6%, propagation 1.5%",179.0,0.01500,0.06000,0.05997,0.73760
"detector 6%, propagation 1.5%",180.0,0.01500,0.06000,0.06000,0.73750
